"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"231","3.356776","1.7.3","host","USB","79","200102000013100000000000000000","URB_INTERRUPT in"
"233","3.364688","1.7.3","host","USB","79","20010200000c100000000000000000","URB_INTERRUPT in"
"235","3.372554","1.7.3","host","USB","79","200102000013000000000000000000","URB_INTERRUPT in"
"237","3.380548","1.7.3","host","USB","79","20010200000c000000000000000000","URB_INTERRUPT in"
"239","3.388770","1.7.3","host","USB","79","200102000012000000000000000000","URB_INTERRUPT in"
"241","3.398667","1.7.3","host","USB","79","20010200000c000000000000000000","URB_INTERRUPT in"
"243","3.406591","1.7.3","host","USB","79","200102000012f0ff00000000000000","URB_INTERRUPT in"
"245","3.414597","1.7.3","host","USB","79","20010200000af0ff00000000000000","URB_INTERRUPT in"
"247","3.420764","1.7.3","host","USB","79","20010200000fc0ff00000000000000","URB_INTERRUPT in"
"249","3.428549","1.7.3","host","USB","79","200102000009e0ff00000000000000","URB_INTERRUPT in"
"251","3.436740","1.7.3","host","USB","79","20010200000dc0ff00000000000000","URB_INTERRUPT in"
"253","3.446591","1.7.3","host","USB","79","200102000008d0ff00000000000000","URB_INTERRUPT in"
"255","3.454552","1.7.3","host","USB","79","20010200000cd0ff00000000000000","URB_INTERRUPT in"
"257","3.462668","1.7.3","host","USB","79","200102000008e0ff00000000000000","URB_INTERRUPT in"
"259","3.470664","1.7.3","host","USB","79","20010200000dd0ff00000000000000","URB_INTERRUPT in"
"261","3.478892","1.7.3","host","USB","79","200102000008f0ff00000000000000","URB_INTERRUPT in"
"263","3.486559","1.7.3","host","USB","79","20010200000ce0ff00000000000000","URB_INTERRUPT in"
"265","3.494597","1.7.3","host","USB","79","200102000007f0ff00000000000000","URB_INTERRUPT in"
"267","3.502598","1.7.3","host","USB","79","200102000009e0ff00000000000000","URB_INTERRUPT in"
"269","3.510588","1.7.3","host","USB","79","200102000004e0ff00000000000000","URB_INTERRUPT in"
"271","3.518758","1.7.3","host","USB","79","200102000006e0ff00000000000000","URB_INTERRUPT in"
"273","3.526597","1.7.3","host","USB","79","200102000002e0ff00000000000000","URB_INTERRUPT in"
"275","3.534663","1.7.3","host","USB","79","200102000001e0ff00000000000000","URB_INTERRUPT in"
"277","3.542595","1.7.3","host","USB","79","200102000001f0ff00000000000000","URB_INTERRUPT in"
"279","3.550589","1.7.3","host","USB","79","200102000001f0ff00000000000000","URB_INTERRUPT in"
"281","3.558586","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"283","3.566599","1.7.3","host","USB","79","200102000001d0ff00000000000000","URB_INTERRUPT in"
"285","3.574595","1.7.3","host","USB","79","200102000000e0ff00000000000000","URB_INTERRUPT in"
"287","3.582607","1.7.3","host","USB","79","200102000000d0ff00000000000000","URB_INTERRUPT in"
"289","3.590597","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"291","3.598672","1.7.3","host","USB","79","200102000001e0ff00000000000000","URB_INTERRUPT in"
"293","3.606591","1.7.3","host","USB","79","200102000000d0ff00000000000000","URB_INTERRUPT in"
"295","3.614598","1.7.3","host","USB","79","200102000000e0ff00000000000000","URB_INTERRUPT in"
"297","3.622597","1.7.3","host","USB","79","200102000000e0ff00000000000000","URB_INTERRUPT in"
"299","3.630550","1.7.3","host","USB","79","200102000001f0ff00000000000000","URB_INTERRUPT in"
"301","3.638600","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"303","3.646584","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"305","3.654579","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"307","3.670577","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"309","3.678577","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"311","3.686577","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"313","3.694577","1.7.3","host","USB","79","200102000000d0ff00000000000000","URB_INTERRUPT in"
"315","3.704581","1.7.3","host","USB","79","200102000000e0ff00000000000000","URB_INTERRUPT in"
"317","3.712578","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"319","3.720581","1.7.3","host","USB","79","200102000000d0ff00000000000000","URB_INTERRUPT in"
"321","3.728826","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"323","3.734855","1.7.3","host","USB","79","200102000001e0ff00000000000000","URB_INTERRUPT in"
"325","3.744886","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
"327","3.752884","1.7.3","host","USB","79","200102000000e0ff00000000000000","URB_INTERRUPT in"
"329","3.760903","1.7.3","host","USB","79","200102000000f0ff00000000000000","URB_INTERRUPT in"
